

[LC Chromatogram(Detector A-Ch1)]
Interval(msec)	500
# of Points	1201
Start Time(min)	0.000
End Time(min)	10.000
Intensity Units	mV
Intensity Multiplier	0.001
Wavelength(nm)	260nm
R.Time (min)	Intensity
1.19167	2131
1.20000	2421
1.20833	2725
1.21667	3039
1.22500	3359
1.23333	3677
1.24167	3989
1.25000	4283
1.25833	4557
1.26667	4804
1.27500	5019
1.28333	5198
1.29167	5335
1.30000	5427
1.30833	5472
1.31667	5470
1.32500	5423
1.33333	5333
1.34167	5200
1.35000	5031
1.35833	4831
1.36667	4602
1.37500	4351
1.38333	4083
1.39167	3802
1.40000	3517
1.40833	3232
1.41667	2949
1.42500	2672
1.43333	2404
1.44167	2148
1.45000	1909
1.45833	1688
1.46667	1484
1.47500	1297
1.48333	1126
1.49167	973
1.50000	836
1.50833	716
1.51667	610
1.52500	517
1.53333	435
1.54167	364
1.55000	304
1.55833	253
1.56667	211
1.57500	174
1.58333	144
1.59167	119
1.60000	98
1.60833	79
1.61667	63
1.62500	51
1.63333	42
1.64167	33
1.65000	25
1.65833	19
1.66667	14
1.67500	9
1.68333	6
1.69167	3
1.70000	1
1.70833	-1
1.71667	-4
1.72500	-5
1.73333	-6
1.74167	-7
1.75000	-8
1.75833	-8
1.76667	-8
1.77500	-9
1.78333	-9
1.79167	-10
1.80000	-10
1.80833	-10
1.81667	-11
1.82500	-12
1.83333	-13
1.84167	-12
1.85000	-12
1.85833	-12
1.86667	-13
1.87500	-13
1.88333	-14
1.89167	-14
1.90000	-14
1.90833	-13
1.91667	-14
1.92500	-15
1.93333	-16
1.94167	-16
1.95000	-16
1.95833	-17
1.96667	-17
1.97500	-18
1.98333	-19
1.99167	-19
2.00000	-19
2.00833	-19
2.01667	-18
2.02500	-18
2.03333	-17
2.04167	-18
2.05000	-18
2.05833	-19
2.06667	-19
2.07500	-19
2.08333	-20
2.09167	-20
2.10000	-21
2.10833	-22
2.11667	-22
2.12500	-21
2.13333	-21
2.14167	-21
2.15000	-21
2.15833	-22
2.16667	-21
2.17500	-21
2.18333	-21
2.19167	-22
2.20000	-23
2.20833	-23
2.21667	-22
2.22500	-22
2.23333	-22
2.24167	-22
2.25000	-23
2.25833	-24
2.26667	-24
2.27500	-24
2.28333	-25
2.29167	-25
2.30000	-25
2.30833	-26
2.31667	-26
2.32500	-25
2.33333	-25
2.34167	-25
2.35000	-26
2.35833	-26
2.36667	-26
2.37500	-27
2.38333	-28
2.39167	-28
2.40000	-27
2.40833	-26
2.41667	-25
2.42500	-25
2.43333	-26
2.44167	-26
2.45000	-26
2.45833	-26
2.46667	-25
2.47500	-25
2.48333	-25
2.49167	-24
2.50000	-23
2.50833	-22
2.51667	-21
2.52500	-19
2.53333	-18
2.54167	-16
2.55000	-14
2.55833	-12
2.56667	-9
2.57500	-7
2.58333	-5
2.59167	0
2.60000	7
2.60833	13
2.61667	22
2.62500	31
2.63333	40
2.64167	49
2.65000	60
2.65833	71
2.66667	83
2.67500	95
2.68333	108
2.69167	123
2.70000	137
2.70833	150
2.71667	164
2.72500	178
2.73333	191
2.74167	205
2.75000	218
2.75833	229
2.76667	240
2.77500	251
2.78333	261
2.79167	269
2.80000	275
2.80833	281
2.81667	286
2.82500	290
2.83333	292
2.84167	294
2.85000	295
2.85833	293
2.86667	291
2.87500	288
2.88333	283
2.89167	278
2.90000	272
2.90833	267
2.91667	261
2.92500	254
2.93333	247
2.94167	241
2.95000	233
2.95833	225
2.96667	218
2.97500	211
2.98333	204
2.99167	198
3.00000	191
3.00833	185
3.01667	179
3.02500	173
3.03333	168
3.04167	162
3.05000	156
3.05833	150
3.06667	144
3.07500	140
3.08333	134
3.09167	128
3.10000	123
3.10833	119
3.11667	116
3.12500	114
3.13333	113
3.14167	111
3.15000	108
3.15833	106
3.16667	103
3.17500	102
3.18333	101
3.19167	100
3.20000	98
3.20833	97
3.21667	95
3.22500	92
3.23333	88
3.24167	84
3.25000	78
3.25833	72
3.26667	66
3.27500	59
3.28333	53
3.29167	48
3.30000	48
3.30833	54
3.31667	71
3.32500	101
3.33333	145
3.34167	200
3.35000	259
3.35833	317
3.36667	381
3.37500	470
3.38333	618
3.39167	872
3.40000	1285
3.40833	1922
3.41667	2858
3.42500	4159
3.43333	5841
3.44167	7822
3.45000	9932
3.45833	11954
3.46667	13690
3.47500	15000
3.48333	15829
3.49167	16193
3.50000	16156
3.50833	15806
3.51667	15230
3.52500	14505
3.53333	13691
3.54167	12832
3.55000	11963
3.55833	11105
3.56667	10275
3.57500	9483
3.58333	8737
3.59167	8042
3.60000	7400
3.60833	6811
3.61667	6272
3.62500	5780
3.63333	5334
3.64167	4929
3.65000	4561
3.65833	4228
3.66667	3926
3.67500	3655
3.68333	3416
3.69167	3208
3.70000	3034
3.70833	2909
3.71667	2861
3.72500	2931
3.73333	3185
3.74167	3694
3.75000	4520
3.75833	5688
3.76667	7159
3.77500	8820
3.78333	10513
3.79167	12078
3.80000	13395
3.80833	14406
3.81667	15119
3.82500	15584
3.83333	15879
3.84167	16110
3.85000	16418
3.85833	16976
3.86667	17919
3.87500	19237
3.88333	20703
3.89167	21953
3.90000	22652
3.90833	22619
3.91667	21876
3.92500	20595
3.93333	19006
3.94167	17324
3.95000	15706
3.95833	14240
3.96667	12958
3.97500	11855
3.98333	10912
3.99167	10118
4.00000	9480
4.00833	9017
4.01667	8749
4.02500	8676
4.03333	8767
4.04167	8961
4.05000	9190
4.05833	9424
4.06667	9743
4.07500	10511
4.08333	12837
4.09167	19676
4.10000	37999
4.10833	81689
4.11667	172976
4.12500	338581
4.13333	598767
4.14167	953452
4.15000	1374144
4.15833	1809061
4.16667	2202222
4.17500	2512618
4.18333	2720930
4.19167	2824122
4.20000	2828338
4.20833	2744991
4.21667	2590054
4.22500	2382735
4.23333	2143261
4.24167	1890368
4.25000	1639476
4.25833	1401937
4.26667	1185071
4.27500	992727
4.28333	826066
4.29167	684363
4.30000	565703
4.30833	467541
4.31667	387101
4.32500	321647
4.33333	268643
4.34167	225838
4.35000	191301
4.35833	163407
4.36667	140815
4.37500	122440
4.38333	107411
4.39167	95035
4.40000	84765
4.40833	76170
4.41667	68913
4.42500	62733
4.43333	57423
4.44167	52822
4.45000	48804
4.45833	45269
4.46667	42138
4.47500	39348
4.48333	36847
4.49167	34596
4.50000	32559
4.50833	30708
4.51667	29021
4.52500	27478
4.53333	26062
4.54167	24758
4.55000	23555
4.55833	22443
4.56667	21411
4.57500	20453
4.58333	19561
4.59167	18731
4.60000	17954
4.60833	17227
4.61667	16544
4.62500	15902
4.63333	15298
4.64167	14730
4.65000	14194
4.65833	13687
4.66667	13208
4.67500	12757
4.68333	12329
4.69167	11925
4.70000	11543
4.70833	11181
4.71667	10838
4.72500	10512
4.73333	10200
4.74167	9902
4.75000	9619
4.75833	9346
4.76667	9085
4.77500	8833
4.78333	8590
4.79167	8355
4.80000	8130
4.80833	7912
4.81667	7701
4.82500	7498
4.83333	7303
4.84167	7114
4.85000	6932
4.85833	6755
4.86667	6586
4.87500	6425
4.88333	6272
4.89167	6126
4.90000	5984
4.90833	5847
4.91667	5714
4.92500	5586
4.93333	5463
4.94167	5344
4.95000	5230
4.95833	5119
4.96667	5012
4.97500	4910
4.98333	4812
4.99167	4718
5.00000	4625
5.00833	4535
5.01667	4448
5.02500	4364
5.03333	4282
5.04167	4203
5.05000	4126
5.05833	4050
5.06667	3977
5.07500	3905
5.08333	3835
5.09167	3767
5.10000	3700
5.10833	3636
5.11667	3573
5.12500	3513
5.13333	3454
5.14167	3395
5.15000	3338
5.15833	3283
5.16667	3230
5.17500	3180
5.18333	3131
5.19167	3084
5.20000	3037
5.20833	2991
5.21667	2946
5.22500	2902
5.23333	2859
5.24167	2817
5.25000	2777
5.25833	2738
5.26667	2702
5.27500	2669
5.28333	2638
5.29167	2615
5.30000	2598
5.30833	2590
5.31667	2593
5.32500	2610
5.33333	2645
5.34167	2702
5.35000	2790
5.35833	2919
5.36667	3113
5.37500	3412
5.38333	3880
5.39167	4626
5.40000	5816
5.40833	7695
5.41667	10603
5.42500	14966
5.43333	21290
5.44167	30098
5.45000	41850
5.45833	56834
5.46667	75042
5.47500	96079
5.48333	119126
5.49167	142973
5.50000	166134
5.50833	187029
5.51667	204194
5.52500	216461
5.53333	223104
5.54167	223894
5.55000	219091
5.55833	209367
5.56667	195679
5.57500	179143
5.58333	160892
5.59167	141978
5.60000	123290
5.60833	105522
5.61667	89155
5.62500	74479
5.63333	61619
5.64167	50572
5.65000	41246
5.65833	33489
5.66667	27120
5.67500	21947
5.68333	17787
5.69167	14468
5.70000	11837
5.70833	9763
5.71667	8132
5.72500	6855
5.73333	5855
5.74167	5072
5.75000	4455
5.75833	3968
5.76667	3583
5.77500	3276
5.78333	3026
5.79167	2822
5.80000	2652
5.80833	2510
5.81667	2386
5.82500	2279
5.83333	2184
5.84167	2099
5.85000	2023
5.85833	1952
5.86667	1887
5.87500	1828
5.88333	1774
5.89167	1723
5.90000	1676
5.90833	1633
5.91667	1597
5.92500	1563
5.93333	1531
5.94167	1500
5.95000	1471
5.95833	1445
5.96667	1421
5.97500	1399
5.98333	1377
5.99167	1356
6.00000	1336
6.00833	1318
6.01667	1300
6.02500	1283
